field,unit,max_1d,max_2d,rel_max,rel_l2
H,A/m,150000.0,150000.0,2.308321806291739e-12,7.578335114521855e-13
E,V/m,12506.762696830825,12506.762696830907,6.111408410776396e-13,4.960170084168598e-13
sigma_a,S/m,0.038564177285621566,0.03918195174406468,0.0465425780621552,0.04646372953542689
n_e,m^-3,7645252414239485.0,7767724667047756.0,0.04654257806215524,0.04646372953542689
