field,unit,max_1d,max_2d,rel_max,rel_l2
H,A/m,150000.0,150000.0,2.3057994743188222e-12,7.577353825138892e-13
E,V/m,12506.762696830825,12506.762696830867,6.096864364106315e-13,4.938144744619628e-13
sigma_a,S/m,0.038564177285621566,0.039182017115402666,0.04654651932882787,0.046467720516793896
n_e,m^-3,7645252414239485.0,7767737626753233.0,0.04654651932882776,0.046467720516793896
