file,source_full_figure,panel,title
figP3_bisection_convergence__panel02__Невязка_бисекции_лог._масштаб.png,plots\regenerated_full\figP3_bisection_convergence.png,2,Невязка бисекции (лог. масштаб)
figP4_lambda_scan__panel01__p_66.5_Па_0.50_Торр.png,plots\regenerated_full\figP4_lambda_scan.png,1,p = 66.5 Па  (0.50 Торр)
figP4_lambda_scan__panel02__p_133.0_Па_1.00_Торр.png,plots\regenerated_full\figP4_lambda_scan.png,2,p = 133.0 Па  (1.00 Торр)
figP4_lambda_scan__panel03__p_266.0_Па_2.00_Торр.png,plots\regenerated_full\figP4_lambda_scan.png,3,p = 266.0 Па  (2.00 Торр)
fig_2d_convergence__panel01__2D_IDR_convergence.png,plots\regenerated_full\fig_2d_convergence.png,1,2D IDR convergence
fig_2d_dashboard__panel01__H_2_r_z.png,plots\regenerated_full\fig_2d_dashboard.png,1,"$|H|^2$(r, z)"
fig_2d_dashboard__panel02__E_2_r_z.png,plots\regenerated_full\fig_2d_dashboard.png,2,"$|E|^2$(r, z)"
fig_2d_dashboard__panel03__a_r_z.png,plots\regenerated_full\fig_2d_dashboard.png,3,"$\sigma_a$(r, z)"
fig_2d_dashboard__panel04__n_e_r_z.png,plots\regenerated_full\fig_2d_dashboard.png,4,"$n_e$(r, z)"
fig_2d_inc_dashboard__panel01__H_2_r_z.png,plots\regenerated_full\fig_2d_inc_dashboard.png,1,"$|H|^2$(r, z)"
fig_2d_inc_dashboard__panel02__E_2_r_z.png,plots\regenerated_full\fig_2d_inc_dashboard.png,2,"$|E|^2$(r, z)"
fig_2d_inc_dashboard__panel03__a_r_z.png,plots\regenerated_full\fig_2d_inc_dashboard.png,3,"$\sigma_a$(r, z)"
fig_2d_inc_dashboard__panel04__n_e_r_z.png,plots\regenerated_full\fig_2d_inc_dashboard.png,4,"$n_e$(r, z)"
fig_2d_inc_fields__panel01__H_2_r.png,plots\regenerated_full\fig_2d_inc_fields.png,1,$|H|^2(r)$
fig_2d_inc_fields__panel02__E_2_r.png,plots\regenerated_full\fig_2d_inc_fields.png,2,$|E|^2(r)$
fig_2d_inc_fields__panel03__a_r.png,plots\regenerated_full\fig_2d_inc_fields.png,3,$\sigma_a(r)$
fig_2d_inc_sigma_norm__panel01__Нормированная_проводимость_0_2D_p_133_Па.png,plots\regenerated_full\fig_2d_inc_sigma_norm.png,1,"Нормированная проводимость  $\sigma / \sigma_0$  (2D, p = 133 Па)"
fig_2d_midplane__panel01__H_2_A_2_m_2.png,plots\regenerated_full\fig_2d_midplane.png,1,$|H|^2$  [A$^2$/m$^2$]
fig_2d_midplane__panel02__E_2_V_2_m_2.png,plots\regenerated_full\fig_2d_midplane.png,2,$|E|^2$  [V$^2$/m$^2$]
fig_2d_midplane__panel03__a_S_m.png,plots\regenerated_full\fig_2d_midplane.png,3,$\sigma_a$  [S/m]
fig_2d_midplane_detailed__panel01__H.png,plots\regenerated_full\fig_2d_midplane_detailed.png,1,H
fig_2d_midplane_detailed__panel02__E.png,plots\regenerated_full\fig_2d_midplane_detailed.png,2,E
fig_2d_midplane_detailed__panel03__sigma_a.png,plots\regenerated_full\fig_2d_midplane_detailed.png,3,sigma_a
fig_2d_midplane_detailed__panel04__n_e.png,plots\regenerated_full\fig_2d_midplane_detailed.png,4,n_e
fig_verification_eckert_2d__panel01__Эккерт_однородная_R_0.57_a_3.13e_03_См_м.png,plots\regenerated_full\fig_verification_eckert_2d.png,1,"Эккерт: однородная $\tilde{\sigma}$
$\delta/R = 0.57$,  $\sigma_a = 3.13e+03$ См/м"
fig_verification_eckert_2d__panel02__Погрешность_Maxwell-решателя_Эккерт.png,plots\regenerated_full\fig_verification_eckert_2d.png,2,Погрешность Maxwell-решателя (Эккерт)
fig_verification_eckert_2d__panel03__2D_сходимость_0_2_при_D_a_i_1.png,plots\regenerated_full\fig_verification_eckert_2d.png,3,2D: сходимость $\lambda_0^2$ при $D_a=\nu_i=1$
